Query UniProt	Partner UniProt	Query Symbol	Partner Symbol
P38159	P98179	RBMX	RBM3
Q13526	Q13526	PIN1	PIN1
P52597	Q13618	HNRNPF	CUL3
P62805	Q96L73	HIST1H4A	NSD1
Q15022	Q16695	SUZ12	HIST3H3
O15379	Q9NZC7	HDAC3	WWOX
O15379	P03372	HDAC3	ESR1
P40227	P78371	CCT6A	CCT2
Q96PU8	Q96PU8	QKI	QKI
P08047	Q92731	SP1	ESR2
P38159	P49759	RBMX	CLK1
P46934	P84022	NEDD4	SMAD3
P03372	P10275	ESR1	AR
Q14974	Q5S007	KPNB1	LRRK2
O15379	Q13227	HDAC3	GPS2
O75525	Q13242	KHDRBS3	SRSF9
P61964	Q99832	WDR5	CCT7
P68104	Q09472	EEF1A1	EP300
Q8N9W6	Q93062	BOLL	RBPMS
O60907	O60907	TBL1X	TBL1X
P84022	Q92731	SMAD3	ESR2
P10275	P84022	AR	SMAD3
P00533	P68366	EGFR	TUBA4A
P55010	P62258	EIF5	YWHAE
O15379	P08047	HDAC3	SP1
O75376	Q09472	NCOR1	EP300
O75554	Q8WWY3	WBP4	PRPF31
O75376	P08047	NCOR1	SP1
Q16695	Q969R5	HIST3H3	L3MBTL2
P52597	Q9NQC7	HNRNPF	CYLD
Q66K74	Q9NZ94	MAP1S	NLGN3
P32119	P63104	PRDX2	YWHAZ
Q14872	Q9NZI8	MTF1	IGF2BP1
P03372	Q9BZK7	ESR1	TBL1XR1
Q5S007	Q5S007	LRRK2	LRRK2
O75376	P54253	NCOR1	ATXN1
P27348	P68104	YWHAQ	EEF1A1
P27348	P63261	YWHAQ	ACTG1
Q14839	Q99496	CHD4	RNF2
B4DH63	P61978	cDNA FLJ58101, highly similar to F-box/LRR-repeat protein 18	HNRNPK
O60674	O60674	JAK2	JAK2
Q92731	Q92731	ESR2	ESR2
P25685	P55317	DNAJB1	FOXA1
P49736	P54274	MCM2	TERF1
O15379	P78371	HDAC3	CCT2
O15379	P27348	HDAC3	YWHAQ
P49368	Q969P0	CCT3	IGSF8
P54253	Q86Y13	ATXN1	DZIP3
Q13618	Q14974	CUL3	KPNB1
P40227	Q9NZC7	CCT6A	WWOX
Q05639	Q14872	EEF1A2	MTF1
P54274	P63104	TERF1	YWHAZ
P12004	Q5S007	PCNA	LRRK2
P0CG48	P50991	UBC	CCT4
P08047	Q13526	SP1	PIN1
P17987	P40227	TCP1	CCT6A
P00533	P12004	EGFR	PCNA
P0CG48	Q05086	UBC	UBE3A
O95067	P12004	CCNB2	PCNA
P49674	Q5S007	CSNK1E	LRRK2
P49368	Q99832	CCT3	CCT7
A6NDG6	Q99496	PGP	RNF2
P38159	Q96SW2	RBMX	CRBN
P49770	Q969P0	EIF2B2	IGSF8
P49368	Q13748	CCT3	TUBA3C
P03372	Q16777	ESR1	HIST2H2AC
P63104	Q9NQC7	YWHAZ	CYLD
O15379	P62805	HDAC3	HIST1H4A
O75554	P34969	WBP4	HTR7
Q9NZC7	Q9NZI8	WWOX	IGF2BP1
P49736	P68366	MCM2	TUBA4A
O94888	P05067	UBXN7	APP
Q16695	Q16695	HIST3H3	HIST3H3
P62805	Q09472	HIST1H4A	EP300
O43865	P48643	AHCYL1	CCT5
P17987	P61964	TCP1	WDR5
P0CG48	Q14839	UBC	CHD4
P12004	Q8IWL3	PCNA	HSCB
P49643	Q8IWL3	PRIM2	HSCB
P12004	Q7Z6Z7	PCNA	HUWE1
O75376	Q9Y618	NCOR1	NCOR2
P61978	Q14011	HNRNPK	CIRBP
P68400	Q53EL6	CSNK2A1	PDCD4
Q8IWL3	Q9NZT2	HSCB	OGFR
P27348	P68400	YWHAQ	CSNK2A1
Q14839	Q14839	CHD4	CHD4
P10275	Q05086	AR	UBE3A
Q96EP5	Q9NZC7	DAZAP1	WWOX
P05362	P05362	ICAM1	ICAM1
P05067	Q5BJF6	APP	ODF2
O75496	O75496	GMNN	GMNN
O15379	Q09472	HDAC3	EP300
O60674	Q16695	JAK2	HIST3H3
Q13618	Q8N4N3	CUL3	KLHL36
P49736	P50991	MCM2	CCT4
O75376	P62805	NCOR1	HIST1H4A
P40337	P63241	VHL	EIF5A
P52597	Q13619	HNRNPF	CUL4A
P78362	Q66K74	SRPK2	MAP1S
P41235	Q13227	HNF4A	GPS2
P62805	Q16777	HIST1H4A	HIST2H2AC
P61964	Q99496	WDR5	RNF2
P68400	Q99496	CSNK2A1	RNF2
P40227	P49736	CCT6A	MCM2
Q96AV8	Q96AV8	E2F7	E2F7
P60033	Q13748	CD81	TUBA3C
P0CG48	Q12873	UBC	CHD3
P61964	P78362	WDR5	SRPK2
P03372	Q92731	ESR1	ESR2
P0DP25	P10636	CALM3	MAPT
Q14974	Q9HCK8	KPNB1	CHD8
Q99496	Q9BZK7	RNF2	TBL1XR1
P63261	P78362	ACTG1	SRPK2
P40337	Q09472	VHL	EP300
P40337	Q13748	VHL	TUBA3C
O15379	P50991	HDAC3	CCT4
P68104	P68366	EEF1A1	TUBA4A
P10275	P55317	AR	FOXA1
O15379	P61964	HDAC3	WDR5
Q9H081	Q9H081	MIS12	MIS12
P0DP25	Q01844	CALM3	EWSR1
O15379	P40337	HDAC3	VHL
P03372	P27348	ESR1	YWHAQ
Q93062	Q93062	RBPMS	RBPMS
Q969R5	Q99832	L3MBTL2	CCT7
P60891	Q96SW2	PRPS1	CRBN
P62995	Q13618	TRA2B	CUL3
P0DP25	Q99496	CALM3	RNF2
P03372	Q09472	ESR1	EP300
P05067	Q8TBB1	APP	LNX1
P61978	Q9NZI8	HNRNPK	IGF2BP1
P68104	Q14872	EEF1A1	MTF1
O43318	P0CG48	MAP3K7	UBC
Q66K41	Q93062	ZNF385C	RBPMS
P61978	Q49AN0	HNRNPK	CRY2
P63104	Q9NYJ8	YWHAZ	TAB2
P40337	Q7Z6Z7	VHL	HUWE1
P68400	Q14839	CSNK2A1	CHD4
P40227	Q6NUN9	CCT6A	ZNF746
P12931	P12931	SRC	SRC
Q6NUN9	Q6NUN9	ZNF746	ZNF746
Q99832	Q9NRD1	CCT7	FBXO6
P29353	Q99832	SHC1	CCT7
P00533	P63241	EGFR	EIF5A
P49736	P68133	MCM2	ACTA1
P68366	Q13748	TUBA4A	TUBA3C
P63261	P68133	ACTG1	ACTA1
O00213	P00533	APBB1	EGFR
P08047	P0DP25	SP1	CALM3
