Gene_1	Gene_2
LGR4	RP11-575L7.1
APP	CFL1
RP11-443G18.6	TUBD1
HACE1	RP23-351C7.3
MBLAC2	RP11-536C5.3
RPL23AP5	ZNF746
CCT6B	TSSC1
CAND1	WDR5
PIK3C2A	PMS1
IL1B	SP1
APP	ATP5O
AGA	RP3-330O12.3
NPLOC4	UBXN7
LA16c-313D11.4	NDUFS1
PSMD13	UBC
CCDC101	WDR5
NSF	RP1-130E4.1
ADA	MCM2
RAD51	RP11-262K24.2
ICAM1	TCOF1
HSD17B12	UBC
RP13-886N14.3	WDR5
RP1-230G1.3	RP3-330O12.3
ELSPBP1	RP1-85F18.1
CLK1	NCL
CREB1	SUZ12
RP11-1114A5.1	RP4-635A23.5
NCOR1	RXRA
RP1-130E4.1	UPF1
RP11-269F19.3	RPS27A
ANKRD17	MAGEA1
RP1-130E4.1	S100A8
CALM1	Hook3
BM-022	CIRBP
UBC	ZFYVE9
FBXL18	HSP90AA1
HIST1H1C	SUZ12
UBC	ZNF716
ICAM1	PAK2
AKT2	FSHR
MCM2	NPM1
HIST1H3J	MCM2
RP11-24B19.2	RP23-46N3.2
PMS1	RP11-205M9.4
CALM1	Camk2d
RP11-244N20.10-004	RP3-339A18.4
NCOR1	PIAS1
MARS	RP3-339A18.4
MPP5	WWOX
CCDC102B	RP1-154G14.1
RP11-96K19.1	TK1
NAF1	RAD51
PSMD2	ZNF746
UBC	YBL058W
RP11-575L7.1	SRRT
KIF1C	RP5-1009E24.3
SMURF1	YWHAQ
ACTL6A	CCT6A
APP	RP11-40O20.1
UBC	YDR050C
PAPOLA	SMAD2
GS1-120K12.1	HYOU1
Cct2	GNB2
LRPPRC	RP11-57G10.3
PCNA	ZBTB1
RP13-39P12.4	UBC
APP	C19orf18
DNAJB12	EGFR
ADAM10	KRAS
CCT2	PPP2R2C
CCT6B	TUBAL3
CRY2	RP5-1172N10.4
CDK4	SP1
AD-006	RP4-677H15.3
YWHAQ	hCG_1996673
EEF2	RP1-85F18.1
GS1-120K12.1	RP4-635E18.2
MCM2	RP11-354A16.1
PAFAH1B3	RP11-96K19.1
CCDC88A	EGFR
GATA6	KRAS
RP11-575L7.1	SPTAN1
CHUK	SRPK2
CAPZA1	HSPC057
CBX8	CSNK2A1
MCM2	RPL22L1
AD-006	CGI-46
APP	DAQB-126H3.5
CCT2	NEDD1
RELA	RP5-1068B5.2
PPP6R1	UBC
UBC	YDR211W
CUL3	KRT13
FN1	UBC
TUBGCP2	ZNF746
MCM2	PAICS
RP1-85F18.1	RP11-141M15.2
AHCYL1	FBXL7
UVRAG	YWHAE
RAP1GDS1	YWHAE
UBC	YML100W
AC002059.7	MARCKSL1
MCM7	MCM7
CTPS1	CUL3
HNRNPUL1	RP11-391H12.1
CGI-97	CUL3
AURKB	HIST2H2BE
AC002059.7	API5P1
AD035	APP
UBC	YBR080C
PP8000	RP11-216B9.3
MCM2	RP11-314N13.2
PDZD2	PKP4
FGB	MIS12
RP1-130E4.1	SUV39H1
KIF1C	TIAM1
CUL3	POP1
UBC	YGL076C
NXF1	RAD51
SUZ12	THRAP3
CLK1	HNRNPA3
UBXN7	WDR11
DDX5	RP11-1114A5.1
ASL	CLK1
PTPN6	SMAD3
AD-006	CFP
GSPT1	KRAS
PPIH	PRPF31
RP11-316M21.1	SUZ12
AUTS2	CSNK2A1
ICAM1	SNRPA1
SLTM	SRPK2
HpV16gp1	UBE3A
RP11-443G18.6	UBC
RP4-790G17.1	SMAD2
CCT4	RP11-216B9.5
NCOR1	NR1H4
FOXK2	RP11-358N2.1
AC002059.7	UBE2M
UBC	YOR063W
ABCF3	GS1-120K12.1
PP1845	RP3-407F17.2
RPS27A	ZNF764
PIN1	PKMYT1
DAAP-385L22.4	KRAS
CUL3	NUP62
HDAC5	RP1-130E4.1
LRP6	PTPRH
Eif2b5	UBC
CLK3	KPNA2
KRAS	RP11-529L18.2
EGFR	NGLY1
MCM2	TCP11L1
FSCN1	RP5-1068B5.2
CUL3	RP11-181E22.3
ATXN1	RP3-389A20.3
EGFR	PP8985
CGI-145	UBC
ARHGEF15	UBE3A
MCM2	PA2G4
RP1-108C2.3	ZNF746
CCT7	UBC
RP1-85F18.1	RP5-1049G16.3
COPS8	RP3-330O12.3
LTV1	POC1A
JUN	RP1-85F18.1
RP1-154G14.1	RP11-366O20.1
TERF1	XRCC5
MCM2	SERPINB8
HS2ST1	RP11-346K17.2
UBC	YGR264C
KPNB1	TUBA1A
CCT6A	TUBAL3
KPNB1	MCM2
ANAPC1	UBC
EGFR	KPNB1
APP	RP3-339A18.2
FASTKD3	VHL
HSPC057	TGM1
EGFR	NSF
RP11-427L11.1	VHL
RPSA	TCP1
GS1-120K12.1	NUP93
AHCYL1	RP11-126K1.1
MCM2	RBM3
AD-006	RPS3A
PPIA	RP1-130E4.1
GS1-120K12.1	HSPC120
BM-015	LMO3
RP1-130E4.1	SARS2
DDX23	TERF1
EGFR	LSM14A
RP23-15J3.1	UBC
GS1-120K12.1	RP11-216N14.6
APP	CASP6
DRAP1	FOXK2
HSPC057	RP4-691N24.1
TUBA4A	TYK2
CALM1	OPRM1
GS1-120K12.1	SRP68
CGI-125	EGR2
RP11-391H12.1	TCBAP0781
HSPC057	SART1
CS	MCM2
ATP6V1B1	RALB
APP	RP11-57C19.3
MCM2	TTBK2
FANCG	NLGN3
DAZAP2	UNQ5814
