Gene_1	Gene_2
RP11-155N3.2	SMAD3
PCNA	RP11-316M1.1
EGFR	RP5-885L7.6
CCT4	NTRK1
FOXA3	SATB2
FANCD2	RAD51
ELAVL1	TBL1X
RP11-348N5.4	TMEM51
HIST3H3	TAF6
APP	SEPT12
GS1-120K12.1	HIST1H1D
FOXK2	KDM5A
AC002059.7	RP11-5P18.9
MRPL45	ZNF331
RP11-553N16.2	YWHAQ
CCT4	Dtl
CUL3	TUBB6
EGFR	ERCC4
CHD4	UNQ834/PRO1772
GID8	TBL1X
PCGF6	RP4-636O23.1
APP	RP11-153I24.1
RPS5	WDR36
AKT2	CHUK
CETN2	TCP1
RP5-890O3.5	WWOX
APP	Apbb1
APP	MAP2K3
CHD3	RP4-620E11.2
HSPC277	PIN1
PRO1608	RP3-330O12.3
CUL3	NVL
TBL1X	XPO1
RP23-414J22.4	UBC
CCT4	KLHDC8A
ARF1	CCT6A
HSPC057	IGF2BP2
RP11-529I10.3	TCP1
HSPC057	RPS19
CCT2	KBTBD4
RP11-536K7.6	UBC
RP11-11N7.3	WWOX
PLEC	SP1
MAP1S	RP1-37E16.3
TRIM28	WWOX
NDUFA7	QKI
APP	SORL1
RP11-230F18.3	RP11-391H12.1
JUN	NCOR1
RPS11	VHL
KRAS	RP11-419L10.1
RP3-339A18.4	XPO1
CUL3	HSPC017
GPS2	PPFIA3
RP11-62C3.1	ZNF746
EIF3A	RP11-536C5.3
RP3-407F17.2	RPLP1
RP11-383C12.1	USP14
CCT6B	PIG19
DAQB-147D11.1	TUBA4A
CSNK2A2	SDAD1
STK25	TCP1
RP11-57G10.3	SUV39H1
APP	HGS
CSNK2A1	HUSSY-23
GPS2	HIV1gp3
APP	FCHO1
POT1	SULT4A1
CPSF1	CUL3
HOXA1	MGAT5B
RP11-391H12.1	RP11-62C3.1
CLK1	DPYD
RPL39L	SRPK2
CCT2	SEC31B
POLR2A	VHL
AC002059.7	RP11-57G10.3
RP1-130E4.1	RP11-378J18.2
PCGF6	RP3-327J16.5
DNAJB1	ZFP36
EGFR	STAT1
RP11-383C12.1	USP12
PCDHB14	RP11-575L7.1
SUZ12	XX-FW88778H2.1
SRPK2	UPF3B
MSTP030	RPS27A
DPYSL5	RP1-20C7.3
RP11-17H4.1	TCF12
IQCF1	RP11-631M21.2
APP	LATS1
RP11-391H12.1	WSB2
SEC61A1	UBC
AC002059.7	SSB
HSPB2	RP5-1068B5.2
RP23-458A23.7	SMARCA5
HSPC057	NOD2
HSPC057	KRT84
ACSL3	MCM2
RP11-96K19.1	UNQ604/PRO1190
AC002059.7	PELP1
PSG9	RP11-96K19.1
EVL	POT1
DLX5	FOXE1
CDK7	UBC
SDHAF2	UBXN7
ATXN1	TSC1
MCM2	RAD21
CALM1	Napa
EIF3A	WWOX
GS1-120K12.1	PSMD12
FBXW11	SUZ12
EGFR	RP11-523H24.2
HCLS1	QKI
CHD3	SAFB
AC002059.7	FKBP4
RP11-391H12.1	Srp72
CALM1	DMXL1
RAD51	XRCC3
CEBPA	SMARCA4
CCT6A	FAM86B2
CSNK2A2	THRAP3
CUL3	KRT31
CCT2	HSP90B1
RP11-173P16.1	TP53BP2
EGFR	GS3582
CTD-2530H13.3	UBC
APP	CHRAC1
RP11-383C12.1	TLE3
SMARCC1	WWOX
HIST1H3B	HIST2H2AC
APP	RPL30
RP11-307C12.1	RP4-593C16.1
APP	ETHE1
CCT6A	RP4-647M16.2
CSNK2A1	hCG_1988850
DN-393H17.5	ELMO3
BTBD2	SMAD2
CD81	EIF4A2
POT1	RP11-382F24.4
DNAJB4	HSPA8
HSPC057	SLC3A2
AC002059.7	COPS5
DASS-97D12.7	RP4-696P19.1
GS1-120K12.1	PWP1
CEP131	RP1-5O6.1
MKS1	NUDCD2
LA16c-358B7.1	NCOR2
GS1-120K12.1	RPL17
AHCYL2	FOXD4
RP11-307C12.1	Socs5
PIG19	POT1
RP23-78H4.1	USP8
RP11-10C13.2	SRPK2
LRP5	PARP16
KPNB1	NXF1
RP4-675E8.4	UBE3A
C11orf58	KPNB1
CCT6A	Wdr48
AC002059.7	IRF3
HIST2H2AC	MMP2
CHD4	IKZF4
FAM86B2	TCP1
MCM2	PYGL
HIST3H3	RP13-886N14.3
HSPC315	SRPK2
HIST3H3	RBP5
LPP	VHL
CUL3	YWHAE
GAS8	LRP6
JAK2	VHL
DAZAP1	RPA3
RP11-57G10.3	SIRT2
UBC	YAL021C
CD81	NAMPT
HNRNPF	RP13-360B22.1
NUDCD2	PSMD9
C19orf57	GPS2
RP3-339A18.4	TRIM28
HSPC057	KRT72
HNRNPF	WWOX
CBX2	RP4-696P19.1
AC002059.7	RP11-297A16.3
DNAH9	FAM103A1
NCOR2	RP1-302G2.2
EIF2AK3	TGIF2LY
DASS-97D12.7	PSME3
EGFR	VRK1
BM-036	UBE3A
BRAP	UBC
DZIP3	FP1193
RP3-495O10.2	TCP1
CPTP	SMAD3
CCT7	P4HB
RP11-187B3.1	tcag7.1185
ICAM1	PABPC1
LRRK2	UBC
HIV1gp1	PUM2
PGAM5	RP1-130E4.1
ICAM1	RPL6
RP1-85F18.1	RP11-357H24.1
PIN1	RP11-336K24.8
EGFR	RP11-40A7.1
AL022344.1	GS1-120K12.1
CUL3	RP11-573G6.1
HSPC057	NAP1L1
PRKCI	VHL
ANGEL2	HNRNPF
RP3-330O12.3	RP4-635E18.2
CCT2	PSMC2
MAP3K1	MCM2
QKI	SNRNP27
BHLHE40	RBFOX1
MCM2	NOLC1
CCT2	WDR92
RP1-130E4.1	RPS2
RP11-307C12.1	TUBA1C
EGFR	PPIB
MRPS9	TERF1
APP	RP4-545K15.2
RP11-57G10.3	TP53
PIN1	TSC2
APP	CXorf56
ARL6IP4	CSNK2A2
GS1-120K12.1	PSMC2
MECP2	NSD1
YWHAE	Yap1
HHV1gp068	YWHAE
PSMB5	UBC
TBL1X	TERF1
DN-393H17.5	RP11-205M9.1
CUL3	GK003
MCM2	PCBP1
RBFOX1	RP4-545L17.1
MTMR4	RP1-5O6.1
AD-006	RP11-575L7.1
NCLN	RP3-339A18.4
FARSA	MCM2
RP1-130E4.1	RP11-380J17.2
HSPC057	SPIN3
EGFR	PP624
HSPC057	PSMD1
Hoxa1	PDLIM7
RORB	RP5-1181N3.2
GS1-120K12.1	ZFR
AHCYL1	SNRPA
EGFR	LCA5L
CCT2	RP23-183D11.1
CUL3	PABPN1
SUZ12	TUFM
MCM7	RPA1
AIRE	MCM2
GL002	HIST3H3
LDHB	YWHAQ
ZNF398	ZNF746
GS1-120K12.1	RPLP0
BM-015	LIMS1
KARS	MCM2
DICER1	RP11-391H12.1
MTM1	TUBA3C
OPRM1	UBC
RP1-130E4.1	RPL10A
CCT6B	DNAJA4
RPL6	WWOX
RP13-55H22.1	SUZ12
HIST2H2BE	SIRT7
CALM1	RP3-508I15.17-002
CUL3	RP11-173P16.1
SETD8	SUZ12
CS	RP3-339A18.4
CUL3	IRAK1
APP	CMAS
SKIV2L2	ZNF746
BATF3	CEBPA
FBXL18	WWP2
APP	GNAZ
PMS1	USP5
HSPC057	RP1-68O2.1
PREX2	RP3-339A18.4
MED17	RP1-130E4.1
CUL3	RP11-349J5.1
KPNB1	RP11-714M16.1
ACTBL2	VHL
RP3-508I15.17-002	UBC
CUL3	DSP
CAPZA1	RP3-339A18.4
LL22NC03-28H9.2	UBC
MCM6	RP3-339A18.4
EGFR	PPP2R5E
CANX	RP11-443G18.6
KRAS	RGCC
HNRNPF	HNRNPH3
FAM120A	RP11-1114A5.1
CRY2	DHX15
RP3-330O12.3	TTC27
PAIP1	RP11-348N5.4
RP1-5O6.1	SSMEM1
CCT4	THOC3
RP23-47N2.1	SMAD2
AC002059.7	WIZ
EGFR	KRT9
RP11-443G18.6	Wdr48
HCVgp1	SMAD2
HSPC057	RP3-434P1.1
HIST1H2AE	RP11-391H12.1
GS1-120K12.1	RP11-307C12.2
AKT2	SPRR2A
PMS1	RFC2
UBC	USP28
HUSSY-27	UBE2E2
EGFR	GRB10
SQSTM1	VHL
VHL	YMR080C
NCOR2	SMARCA4
Phum_PHUM577390	UBC
EGFR	IDH2
LP3587	RP1-85F18.1
ACTB	CCT2
BRAF	KRAS
SHBG	SHBG
RPS27A	TRIM25
KPNB1	RUNX1T1
CUL3	GLI2
AP1M1	SRPK2
AC002059.7	RP4-603I14.2
CUL3	MRTO4
APP	RASSF3
UNQ2790	WDR5
UNQ5827/PRO19646	VHL
ATXN1	KAT6A
RP11-391H12.1	RP11-4K3__A.1
CUL3	WDR76
FOXK2	NFATC1
PIN1	TBCA
UBC	YLR075W
TBL1X	TBL1X
RP1-130E4.1	RP5-1181N3.2
PRPF31	SNRPN
RP11-517F10.1	RP3-330O12.3
CDC25A	CUL3
HIST1H2BG	YWHAQ
Hoxa1	TRAF2
CGI-76	GS1-120K12.1
CUL3	TUBA3C
RP11-406H21.1	RP11-96K19.1
RP11-383C12.1	TGIF1
EGFR	PRO1512
CALM1	CLIP1
AHCYL1	SRXN1
HSFY1	RAD51
CD40	RP5-1181N3.2
UBC	YDR188W
PCBD2	RP11-38O23.8
CALM1	GID8
PP1096	TERF1
AHCYL1	THADA
MCM2	OK/SW-cl.67
MCM2	PTGES3
DZIP3	PSMD9
NF2	RP11-391H12.1
CUL3	RPL27
PIN1	PPARG
ACTB	RP1-130E4.1
NUDCD2	TINF2
FYB	RP1-154G14.1
APP	C6orf118
COL1A1	EGFR
HIST1H1C	RP11-391H12.1
RP11-66D17.10-003	WDR36
MCF2L2	RP11-57G10.3
HSPA5	VHL
RP11-383C12.1	RUVBL1
GZMK	RP11-575L7.1
EGFR	HSPC087
AMOT	RP3-330O12.3
RP1-85F18.1	RP11-125A15.2
DCUN1D1	RBM3
RP3-339A18.4	RP4-534D1.2
RAF1	RP11-443G18.6
CSNK2A2	HEXIM1
UBC	YHL033C
APP	ARMC9
AKT2	RP1-130E4.1
CUL3	DHX8
RPS17	VHL
CCT2	WDR76
PIN1	SNCA
APP	RPL31
PEX14	TCP1
SRSF8	SUZ12
CSNK2A2	OK/SW-cl.8
MST1R	YWHAE
APP	HSPC108
APP	PCBD1
CUL3	RPS2
AP2M1	CRY2
CCT4	GIG46
IVL	POT1
CCT2	TUBA3C
AC002059.7	CUL1
KMT2B	SMAD3
MRPS34	ZNF746
RP1-130E4.1	RP11-263K19.2
PCNA	RP11-262P20.3
UBC	WWP1
KPNB1	SERPINB12
HDAC3	RFPL4B
HSPC020	PRDX2
MIS12	NDC80
ERBB4	RP11-307C12.1
RP1-5O6.1	WDR5
CHERP	SRPK2
PRPF31	RP4-791M13.2
FOXK2	MAP1B
CD81	EIF3CL
CUL3	KAT5
Cct2	TXNDC9
EGFR	SSB
AD-006	AGO2
RP3-339A18.4	SRSF5
LRWD1	RP11-391H12.1
APP	CFHR2
CUL3	SNW1
UBE2D1	VHL
CUL3	MSTP059
FKSG18	RP3-330O12.3
APP	CD36
APP	RP11-301N24.4
CHD4	NR2C2
COX6A2	POT1
Bai1	CALM1
EGFR	UCK2
FKSG13	UBC
KRTAP10-3	SBBI58
APP	OR6B3
APP	UNQ667/PRO1301
CCT7	Pfdn2
KLHDC8A	RP11-443G18.6
PPP2R2B	TCP1
KPNB1	RP11-243J16.10-002
APP	TMCC1
CALM1	Ywhaq
CHD8	NCAPH2
CCT4	MCM2
PCNA	RP5-975D15.1
RP11-658F2.8	WDR36
AHCYL2	RASL10B
CUL3	PDE12
FBXW7	KRAS
GS1-120K12.1	RPS3A
HSPA5	RP11-173P16.1
CCT4	NOS2
APP	KRT36
ATXN1	ZNF804A
APP	PROSER2
FOXD4L6	THNSL1
FBXW11	QKI
GS1-120K12.1	HNRNPA3
HBP1	RP1-130E4.1
RP1-85F18.1	VDR
RELA	TBL1X
ANKHD1-EIF4EBP3	RP4-758J24.3
FKBP4	POC1A
KIF5B	RP3-339A18.4
PAICS	PRDX2
CUL3	FXR1
EGFR	FDFT1
UBC	UBE2V2
MCM2	RP11-369L1.1
AD-006	P/OKcl.14
EGFR	RP11-386D8.2
CAD	CCT4
PCNA	RFC2
CUL3	PRPF19
APP	RP1-50O24.5
GMCL1	QRICH1
HUSSY-27	LA16c-431H6.2
AC002059.7	RP3-510O21.1
GS1-120K12.1	NOM1
INTS8	RP11-24B19.2
HSPC057	RP11-124N14.1
CALM1	HSPA4
CCT2	OBSL1
KPNB1	RP11-379F12.5
APP	RP11-331H2.2
RP11-536C5.3	RPL23A
AFG3L2	EGFR
AKT1	SRPK2
HNRNPR	RP3-330O12.3
APBB1	PCGF6
OK/SW-cl.29	UBXN7
HSPC057	MYD88
AK2	SHBG
CTA-215D11.1	RP3-407F17.2
Mad2l1	RAD51
AC002059.7	SCARNA22
HDAC3	NR1D1
CREBBP	HIST2H2BE
EIF5	YWHAE
PIN1	RP11-420G6.2
AHCYL1	MIG1
PTCD1	RP11-1114A5.1
RP4-811H24.2	RP5-1068B5.2
DADB-159G18.1	ICAM1
AL022311.1	CD81
GS1-120K12.1	PP3898
RP1-130E4.1	RP11-6P10.1
KRAS	SNRPD2
CCT2	CDK15
GS1-120K12.1	HNRNPH3
CEBPA	MAPK8
RP3-422H11.1	SRPK2
CSNK2A2	RP11-8J9.3
RP1-130E4.1	RP11-205M9.4
QKI	RBM42
CRY2	GEMIN5
EGFR	SNRPF
DNAJB1	TTLL12
CLK1	SPTBN4
EGFR	RP11-263K19.2
RP1-5O6.1	XX-FW83563B9.3
ASH2L	HIST3H3
RP1-130E4.1	RP11-78J21.1
REST	RP1-5O6.1
GMNN	SMARCA2
APP	SOCS3
HIST3H3	MTA1
CSNK1D	SMAD2
GS1-120K12.1	SENP3
EGFR	RP1-295C6.1
ASB16	KRAS
CUL3	RBM7
APP	CACNB1
CALM1	Lonp1
RP3-339A18.4	SND1
DPYSL2	RHOA
AC002059.7	MRPS9
AHCYL2	RP4-790G17.1
FKSG27	RP11-451M19.1
RP1-130E4.1	SRSF2
APP	UBQLN1
RP11-506B15.5	SHBG
Cct7	RP11-465F21.2
CUL3	RP4-622L5.4
COQ7	RP11-98I9.1
HNRNPA3	WWOX
PML	TUBA3C
HDAC2	HIST2H2BE
RP3-339A18.4	RPL23
BLM	POU3F3
MCM2	MYH4
CCT7	FLCN
CUL3	PIK3R2
POLA2	RP3-401D24.1
FOXK2	RP1-130E4.1
MCM2	RP11-443G18.6
RP3-330O12.3	UNQ1873/PRO4316
ASB2	UBC
RP11-32D17.1	UBE3A
MCM2	UBE2D1
DNAJB1	RP11-90M2.2
HIST1H2AE	MCM2
PHB	UBC
EGFR	P4HB
CDK13	TUBA4A
RP11-57G10.3	ZNF346
CD81	PCBP1
EGFR	HSD11B1
RP5-1181N3.2	RP5-823N20.1
RP11-244N20.10-004	VHL
CUL3	RP11-318C24.3
OK/SW-cl.26	RPS27A
NCOR1	TXNRD2
RP1-293L8.3	RP11-57G10.3
HIST2H2AC	Rnf2
BCR	CSNK2A2
EGFR	RP1-122P22.2
ATM	RAD51
CALM1	RP23-412B2.5
HOXA1	RGS17
GS1-120K12.1	HELZ
APP	RP5-1054A22.2
AKT1	RP11-57G10.3
EGFR	GIGYF2
CPNE5	SATB2
CGI-115	CUL3
GMNN	MTMR1
PRPF31	VCP
KRAS	PLK1
CEBPA	RAB34
CBX2	RBMY1A1
RP11-575L7.1	RP5-1055C14.2
CCT2	CGI-95
RP5-1107C24.1	SP1
MSTP011	PP8000
RP11-247A12.4	RP11-443G18.6
PCNA	TRIM25
CDX1	PUM2
SPG20	UBC
TPI1	YWHAQ
FBXO28	NCKIPSD
ATXN2	WWOX
AC002059.7	RP4-691N24.1
APP	MMP12
PCNA	RP11-258C19.2
UBC	YHR018C
FEN1	TERF1
HDAC3	RUNX1T1
RNF43	RP1-5O6.1
ITGAV	NCOR2
ATXN1	TCEANC
HKMT1069	UBC
EGFR	SMTNL1
HSPC130	RP11-383C12.1
CUL3	PSMD1
BATF2	DAZAP2
CCDC8	TCP1
JM2	RP1-85F18.1
CUL3	MCM7
OK/SW-cl.43	RP11-575L7.1
CDK2	SMAD3
OBSL1	RP11-1114A5.1
AC002059.7	YBX1
YAP1	YWHAE
HDAC3	HIF1AN
RPS27A	YGL058W
CALM1	Pde1b
MCM2	Mcm3
CLK1	DBR1
OK/SW-cl.46	SRPK2
AC002059.7	GPATCH8
Cul3	TNFAIP1
MSH6	RP1-85F18.1
MIER2	PCGF6
CENPB	ZNF331
PSG1	PSG5
C1orf94	RBM47
NR4A1	PPM1A
CUL7	RP11-443G18.6
LCP2	RP11-307C12.1
FAM161B	SMAD2
CSNK2A1	RP23-268K22.4
HSFY1	RABEP1
PNMT	TERF1
CCT5	TUBA1C
APP	RP11-349J5.1
CLPP	EGFR
RP1-30M3.3	SMAD3
ATP4A	CLK1
PSEC0245	RP3-330O12.3
GS1-120K12.1	RP11-208F1.2
MYH1	UBC
TNPO3	UBE3A
CUL3	RP11-505P4.2
MCM2	RPS17
KIF3A	VHL
APP	MRPL52
CDK7	MCM7
CHORDC1	MCM2
MCM2	MYH8
CD209	HSPC057
CRY2	DYNC1H1
DADB-127H9.2	RPAP1
GS1-120K12.1	SOWAHA
PDCL3	RP11-443G18.6
CCT6B	RP4-682C21.1
RP3-339A18.4	TOX4
TRG15	ZNF746
RP1-85F18.1	SUMO2
PABPC1	SMAD3
PRO2640	RP3-339A18.4
APOBEC3C	SRPK2
PTPN4	RP11-57G10.3
MRPS7	UBC
DADB-87H23.3	GLTSCR2
ALYREF	RP1-130E4.1
RBFOX1	UNQ268/PRO305
UBC	YNL243W
AGO2	UBC
HDAC5	HNRNPF
KRAS	ZC3H10
CCDC64B	UBC
HSPC057	MRPL21
ATXN1	MLST8
APP	HSPC301
ATP6V1C2	POTEF
RPS16	RPS27A
CSNK2A1	NMT1
APP	ARNT2
TUBA4A	UNQ649/PRO1279
IPO11	UBE3A
RP1-319D22.1	WWOX
LOC389842	RP3-339A18.4
RP1-130E4.1	RP5-1009E24.3
POTEF	PRO2743
CRY2	EEF1A2
PP265	ZNF746
RP11-79D8.3	SRPK2
CIAO1	RP3-401D24.1
SRSF2	YWHAE
CGI-07	POTEF
CYBA	VHL
PRPF31	SNRPE
RP11-406D17.1	SMAD3
PNMAL1	UBC
RP11-96L14.6	SRPK2
EGFR	RP11-212K13.2
CUL3	MYBBP1A
AC002059.7	RPSAP12
FMR1	SUZ12
HSPA4	RP11-575L7.1
STAMBP	UBC
HIST1H2BI	MCM2
BLOCK24	RP11-575L7.1
APP	TRAF6
CXADR	NCOR1
CALM1	MYBPC1
APP	RP13-383K5.2
CHD3	RP3-339A18.2
HIST2H2AB	MCM2
GS1-120K12.1	IQSEC1
HBD	MCM2
DHX8	SMAD3
APP	ART4
CALM1	CT009708.1
FXR1	SUZ12
HSPC123	NDUFS1
RP11-7O11.4	XPO4
RP1-5O6.1	RP11-413M3.3
KPNB1	NDN
EGFR	SNRPD2
CUL3	YWHAG
YWHAE	ZFP36L2
CBX2	DHX57
CALML5	HSPC057
MYL6	SUZ12
APP	NEIL1
SRPK2	TRA2A
RP3-408N23.5	SMAD2
RP1-85F18.1	SETD1A
APP	ASPSCR1
DDB1	RP3-339A18.4
KRAS	ZNF584
ENO1	RP11-391H12.1
DADB-112B14.3	ZNF746
EPS15L1	NCKIPSD
RP3-407F17.2	RP5-899C14.1
OLIG2	SRRM1
CUL3	HNRNPUL1
BCAS3	KRAS
HSPB1	NCKIPSD
UBC	VDAC1
OK/SW-cl.81	RP1-130E4.1
CGI-85	YWHAQ
SRPK2	UNQ2428/PRO4988
HSPC057	ROCK1
PCNA	RP4-534D1.2
PP384	RP3-407F17.2
DADB-159G18.9	HIST3H3
CUL3	RPS7P4
CALM1	SYNE2
ANKRD34A	KIF1C
OK/SW-cl.35	RP11-383C12.1
ICAM1	hCG_45299
NKX3-1	SP1
CALM1	MYL6B
CUL3	KLHL42
MCM2	UQCRC1
KRAS	UNQ257/PRO294
HSPC057	RPL37A
HNRNPM	SRPK2
CUL3	SPTAN1
TCP1	TUBG1
APP	RP3-508I15.1
CELF5	PUM2
CCT7	RP11-426L16.5
RP3-330O12.3	TMEM131
AC002059.7	RPS25P8
CEBPA	CTA-216E10.7
RP11-546O6.1	SUZ12
CUL3	PRMT5
GBA	RP3-330O12.3
RP24-143D17.2	WDR92
RPL18A	WDR36
EIF3A	KRAS
PAGR1	RP5-1181N3.2
UBC	YDL140C
ELMSAN1	RAD51
CD81	TUBA1B
GS1-120K12.1	RP11-151A6.3
DDX23	PP8000
RAC2	RP3-330O12.3
MSTP011	POT1
RAP2C	RP11-443G18.6
AL023881.1	UBC
EGFR	IPO7
CHD4	ITGA4
RP1-85F18.1	ZBTB49
KPNB1	PLEKHA8
CTD-2522E6.1	KRAS
APP	RIOK2
BAG4	GMNN
MEF2C	RP1-85F18.1
AC002059.7	COPS3
RP23-135A21.5	SRY
GRWD1	UBC
ATXN1	RP11-57C19.3
HSPC322	RP11-1114A5.1
AC002059.7	CDA10
OTOG	UBC
HNRNPH2	PRPF31
CBS	PIN1
FOXK2	TP53BP1
TCEB1	VHL
NCAPG	RP1-130E4.1
APP	CCDC40
CSNK2A1	TAF1
PPP2CB	RP1-130E4.1
CCAR2	CUL3
KRTAP10-1	RP1-278E11.1
MCM2	PRKDC
RP11-187B3.1	SIRT2
PAFAH1B3	PP8000
RP11-383C12.1	TTC5
NEUROD1	TCF12
HSPC057	UPF1
RP1-5O6.1	RP11-297A16.3
KCNN2	SRPK2
CSTB	VHL
CHEK1	CSNK2A1
CDK5	PCNA
JUP	RBM3
CALM1	Fubp1
GCK	PCNA
MEGF8	RP3-330O12.3
SMAD3	SVEP1
RP11-341A19.1	RP11-383C12.1
KPNB1	RP11-351M8.1
APP	RP4-686B20.1
MCM2	TBRG4
CAT	DN-393H17.5
RP11-575L7.1	RP5-885L7.1
UBC	YCL028W
DCAF16	FGL1
HDAC2	VHL
CALM1	RPL22
KIF1C	NF1
ICAM1	ITGB2
APP	PPP5C
APP	SBBI03
KRAS	PIK3CG
APP	ZNF641
REV1	UBC
CIRBP	CUL3
NCOR1	ZSCAN5A
RABEP1	RP11-386D8.2
HSPC057	TUBB6
DNAH7	EGFR
DC8	DN-393H17.5
HSPC057	SNRPD1
HUSSY-27	PRPF31
AC002059.7	ZC3HAV1L
CECR5	SHBG
AC002059.7	PTGES3
CHD8	TOP3B
AP2M1	CHD8
APP	RP3-474M20.1
AP2B1	PP8000
ASIC1	EIF2AK3
CGI-21	PRPF31
FKSG86	PCNA
CALM1	GS1-120K12.1
DAZAP2	ZC3H10
MAP2K1	YWHAE
RP1-233K16.1	RP11-57G10.3
FSCN1	PRDX2
RP3-330O12.3	SNORD36C
DMRTB1	NCKIPSD
CUL3	PRKDC
C1orf127	RP11-443G18.6
DN-199E5.2	DYNC2H1
CDK2	UCHL1
CUL3	RP5-930J4.3
HIST3H3	NSD1
CSNK2A1	PURB
CDK2	RP1-85F18.1
RP11-353C18.2	UBC
DDX3Y	RP11-536C5.3
HNRNPA3	UBC
DAZAP2	RNF115
AHCYL1	ZNF263
RP1-286D6.3	RP3-330O12.3
CDABP0047	RP1-85F18.1
MCM2	MRE11A
MCM2	NAA40
ETV6	RP5-1068B5.2
RP23-338O4.3	YTHDC1
CCT7	WDR83
ERBB2	RP1-130E4.1
GNB2	RP11-443G18.6
EGFR	TCP1
CUL3	RP11-472E5.1
RP3-339A18.4	SLC25A19
MAGEB1	SRPK2
MCM2	RNF126
RP11-443G18.2	TUBA4A
APP	RASL12
DOCK6	ZNF331
LPP	SUZ12
TERF1	TMSB4Y
C6orf141	NCOR1
CRY2	RPN1
DZIP3	HIST1H2AB
EIF4E2	RP3-339A18.4
AC002059.7	PRDX2
GLUD1	ZNF746
REL	RP1-278E11.1
CCNG1	RP11-391H12.1
AHCYL1	HUSSY-18
ACTR1A	RP3-339A18.4
AHCYL1	FOXD4
CUL3	USP32
RP1-134E15.1	TLE2
PCGF6	RAD18
RP1-85F18.1	RUNX1
PLP2	SHBG
CAPZA1	RP3-330O12.3
CCDC8	CCT2
ANXA2	RP1-130E4.1
RP11-131M11.1	SMAD2
RP23-63E8.1	SMURF1
EGFR	RP5-836N17.3
HSPC057	TCBAP0781
MCM2	RPS13
EGFR	RP11-181E22.3
MCM2	RP1-302G2.1
PSEN1	UBC
CDC6	PCNA
DN-393H17.5	MED24
CUL3	SLC3A2
RP1-85F18.1	Zfpm2
UBC	YHR027C
AC002059.7	My024
CUL3	GALK1
EGFR	RP4-620E11.2
HSPA8	QRICH1
DAZAP1	RP1-309K20.5
ICAM1	RPL8
Poli	UBC
KIAA1191	PP8000
APP	C19orf12
CTD-2522E6.3	NDUFS1
CCT4	RP1-319D22.1
CCT7	RP23-446O17.1
PHB	RP3-339A18.4
HIST1H1A	ZNF746
APP	MYBBP1A
RP11-536C5.3	RPS13
CSNK2A1	RP11-1114A5.1
MCM2	SOD1
CCT6B	DCAF10
ICAM1	PRPF8
CEBPD	HDAC3
CLK3	TNPO3
SNRPD3	SUZ12
CTD-2522E6.1	UBC
PIAS2	SMAD3
ACTR1B	GPS2
GS1-120K12.1	HSD17B12
MED21	RP1-130E4.1
DNAH7	UBC
RELA	RP11-203D19.1
CSNK2A2	RP5-973N23.1
NCOR2	NFE2L2
HIST3H3	IRAK1
ANKRD50	APP
COX15	NDUFS1
CUL3	HNRNPA2B1
RP11-297A16.3	UBXN7
CSNK2A1	DPF3
CRY2	EFTUD2
KRT17	RP11-307C12.1
CSNK2A1	SRF
RP1-302G2.1	RP3-339A18.4
ASH2L	RP5-1181N3.2
CSNK2A2	PLRG1
DPYS	DPYSL5
ICAM1	SART3
BID	RP1-5O6.1
CALM1	DYX1C1
DNAJB4	RP11-426L16.2
POT1	RGS14
RP1-130E4.1	VPS13D
APP	PRO2640
MAP4K5	PPM1A
ACP2	RP3-330O12.3
RP5-1189B24.5	TERF1
ATXN2L	POT1
UBC	YIL125W
HRIHFB2411	SMAD2
GS1-120K12.1	PHB
HIF1A	RP1-85F18.1
AC002059.7	RPLP0P3
AD-006	RP4-635A23.5
YWHAE	hCG_1998957
CYFIP1	TERF1
APP	RP11-406H21.1
APP	PRO0477
CSNK2A1	RNF111
RBBP4	RP11-536C5.3
RPS12	UBC
APP	CLEC12A
DNAJB1	HSPA4L
IL17RA	RP1-154G14.1
KRAS	NCAPD2
EGFR	EIF3B
CLK3	LA16c-OS12.1
LPAR4	RP11-631M21.2
ADRB2	CALM1
CCT2	RP11-140H17.1
RP11-536C5.3	RPL22
ACTR1B	RP11-443G18.6
HHV4_BPLF1	RP11-391H12.1
FOXK2	RP11-716A19.5
MYOD1	RP1-85F18.1
H_RG437L15.1"	UBC
APP	BUD31
PGR	RP1-85F18.1
KRAS	MOB3A
CPNE7	CUL3
HDAC3	ZSCAN5A
CCT2	PEX14
RP1-154G14.1	RP23-445E20.3
BCL11A	CHD4
RP11-356N1.3	RP3-330O12.3
NSUN2	ZNF746
APP	SERF1A
RP3-330O12.3	UNQ434/PRO865
ATXN1	VCP
CCT7	RP1-138B7.2
AC002059.7	SOX7
Ep300	RP1-85F18.1
IWS1	PPM1A
CUL3	TRMT10C
PAK4	SRPK2
APP	USP5
ANKRD13B	EGFR
BRCA1	RP11-187B3.1
POLR2G	RP11-24B19.2
ENO3	HSPC057
CDC25C	RPS27A
APP	CGB
CCNA1	SP1
KLHDC2	UBXN7
KRAS	RP11-382H24.1
GS1-120K12.1	TSC22D2
CUL3	RP4-559A3.4
MNT	UBE3A
ATXN1	SLC4A2
RP11-357H24.1	RP11-383C12.1
NEFL	RP11-383C12.1
DCP1B	MCM2
CALM1	MYL6
PNAS-124	RP3-339A18.4
PNN	SRPK2
APP	EIF1
GS1-120K12.1	TP53
EIF5B	FOXK2
