Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
Validated transcriptional targets of AP1 family members Fra1 and Fra2	14994	PID NCI	9606	2	35	0.07121418476849906	0.1082845823192246	EP300; SP1; 	EP300|IDBG-8992|ENSG00000100393|2033|; SP1|IDBG-36616|ENSG00000185591|6667|; 
IGF1 signaling pathway	16216	INOH	9606	2	36	0.07480231172261946	0.11281326903818967	AKT2; SHC1; 	AKT2|IDBG-51270|ENSG00000105221|208|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
TNF receptor signaling pathway	15154	PID NCI	9606	2	36	0.07480231172261946	0.11281326903818967	CYLD; MAP3K7; 	CYLD|IDBG-30697|ENSG00000083799|102724054,1540|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; 
C-MYB transcription factor network	15398	PID NCI	9606	3	78	0.07474907968303575	0.11334901427345585	MAP3K7; NCOR1; SP1; 	MAP3K7|IDBG-94374|ENSG00000135341|6885|; NCOR1|IDBG-31971|ENSG00000141027|9611|; SP1|IDBG-36616|ENSG00000185591|6667|; 
IRS-related events	18844	REACTOME	9606	3	79	0.07701714729794809	0.11583879878146665	AKT2; JAK2; PPM1A; 	AKT2|IDBG-51270|ENSG00000105221|208|; JAK2|IDBG-47039|ENSG00000096968|3717|; PPM1A|IDBG-8210|ENSG00000100614|5494|; 
Cysteine and methionine metabolism	4362	KEGG	9606	2	38	0.08214682323699335	0.11600887251025778	AHCYL1; AHCYL2; 	AHCYL1|IDBG-100935|ENSG00000168710|10768|; AHCYL2|IDBG-40716|ENSG00000158467|23382|; 
FOXA2 and FOXA3 transcription factor networks	14900	PID NCI	9606	2	38	0.08214682323699335	0.11600887251025778	FOXA1; SP1; 	FOXA1|IDBG-5104|ENSG00000129514|3169|; SP1|IDBG-36616|ENSG00000185591|6667|; 
Inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages	4022	PID BIOCARTA	9606	2	38	0.08214682323699335	0.11600887251025778	CSNK2A1; LRP6; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; LRP6|IDBG-20075|ENSG00000070018|4040|; 
AMER1 mutants destabilize the destruction complex	16848	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
APC truncation mutants are not K63 polyubiquitinated	16833	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
APC truncation mutants have impaired AXIN binding	17628	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
AXIN missense mutants destabilize the destruction complex	17110	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
AXIN mutants destabilize the destruction complex, activating WNT signaling	16826	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Degradation of beta-catenin by the destruction complex	13328	REACTOME	9606	3	81	0.08164340971496993	0.11618485228668798	TLE1; TLE2; UBC; 	TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
