interactor_1	interactor_2	interactor_1_uniprot	interactor_2_uniprot	database
DAZ3	PUM2	Q9NR90	Q8TB72	IID
DAZ4	DAZL	Q86SG3	Q92904	IID
DAZ4	PUM2	Q86SG3	Q8TB72	IID
DAZ4	QKI	Q86SG3	Q96PU8	IID
DAZ4	DZIP1	Q86SG3	Q86YF9	IID
DDX3Y	DDX3Y	O15523	O15523	IID
DDX3Y	SMAD3	O15523	P84022	IID
DDX3Y	WBP4	O15523	O75554	IID
DDX3Y	POC1A	O15523	Q8NBT0	IID
DDX3Y	RPAP1	O15523	Q9BWH6	IID
DDX3Y	MCM2	O15523	P49736	IID
DDX3Y	APBB1	O15523	O00213	IID
DDX3Y	CCNB2	O15523	O95067	IID
DDX3Y	VHL	O15523	P40337	IID
DDX3Y	SMAD2	O15523	Q15796	IID
DDX3Y	CRY2	O15523	Q49AN0	IID
DDX3Y	IGSF8	O15523	Q969P0	IID
DDX3Y	ODF2	O15523	Q5BJF6	IID
DDX3Y	POT1	O15523	Q9NUX5	IID
DDX3Y	SAP25	O15523	Q8TEE9	IID
DDX3Y	SHBG	O15523	P04278	IID
DDX3Y	ESR1	O15523	P03372	IID
DDX3Y	NEDD4	O15523	P46934	IID
DDX3Y	NUDCD2	O15523	Q8WVJ2	IID
DDX3Y	FBXO6	O15523	Q9NRD1	IID
DDX3Y	PIN1	O15523	Q13526	IID
DDX3Y	MTF1	O15523	Q14872	IID
DDX3Y	SRC	O15523	P12931	IID
DDX3Y	WWOX	O15523	Q9NZC7	IID
DDX3Y	CD81	O15523	P60033	IID
DDX3Y	HSCB	O15523	Q8IWL3	IID
EIF1AY	SRPK2	O14602	P78362	IID
EIF1AY	HNF4A	O14602	P41235	IID
EIF1AY	KLHL36	O14602	Q8N4N3	IID
EIF1AY	EIF2B2	O14602	P49770	IID
EIF1AY	EIF1AX	O14602	P47813	IID
EIF1AY	ATXN1	O14602	P54253	IID
EIF1AY	EIF5A	O14602	P63241	IID
EIF1AY	FOXA1	O14602	P55317	IID
