interactor_1_x	interactor_2_x	interactor_1_uniprot_x	interactor_2_uniprot_x	database_x	set_genes	interactor_1_y	interactor_2_y	interactor_1_uniprot_y	interactor_2_uniprot_y	database_y
POT1	TMSB4Y	Q9NUX5	O14604	BioGrid	frozenset({'POT1', 'TMSB4Y'})	TMSB4Y	POT1	O14604	Q9NUX5	IID
CUL3	EIF1AY	Q13618	O14602	BioGrid	frozenset({'EIF1AY', 'CUL3'})	EIF1AY	CUL3	O14602	Q13618	IID
CUL4A	CDY2A	Q13619	Q9Y6F7	BioGrid	frozenset({'CUL4A', 'CDY2A'})	CDY2A	CUL4A	Q9Y6F7	Q13619	IID
SHBG	DDX3Y	P04278	O15523	BioGrid	frozenset({'DDX3Y', 'SHBG'})	DDX3Y	SHBG	O15523	P04278	IID
ATXN1	EIF1AY	P54253	O14602	BioGrid	frozenset({'EIF1AY', 'ATXN1'})	EIF1AY	ATXN1	O14602	P54253	IID
SMAD2	DDX3Y	Q15796	O15523	BioGrid	frozenset({'DDX3Y', 'SMAD2'})	DDX3Y	SMAD2	O15523	Q15796	IID
SMAD3	DDX3Y	P84022	O15523	BioGrid	frozenset({'DDX3Y', 'SMAD3'})	DDX3Y	SMAD3	O15523	P84022	IID
SHC1	USP9Y	P29353	O00507	BioGrid	frozenset({'SHC1', 'USP9Y'})	USP9Y	SHC1	O00507	P29353	IID
TSPY2	APP	A6NKD2	P05067	BioGrid	frozenset({'APP', 'TSPY2'})	TSPY2	APP	A6NKD2	P05067	IID
ESR1	DDX3Y	P03372	O15523	BioGrid	frozenset({'DDX3Y', 'ESR1'})	DDX3Y	ESR1	O15523	P03372	IID
YWHAE	RBMY1A1	P62258	P0DJD3	BioGrid	frozenset({'RBMY1A1', 'YWHAE'})	RBMY1A1	YWHAE	P0DJD3	P62258	IID
USP9Y	UBC	O00507	P0CG48	BioGrid	frozenset({'USP9Y', 'UBC'})	USP9Y	UBC	O00507	P0CG48	IID
DAZ1	PUM2	Q9NQZ3	Q8TB72	BioGrid	frozenset({'DAZ1', 'PUM2'})	DAZ1	PUM2	Q9NQZ3	Q8TB72	IID
DAZ1	QKI	Q9NQZ3	Q96PU8	BioGrid	frozenset({'DAZ1', 'QKI'})	DAZ1	QKI	Q9NQZ3	Q96PU8	IID
DAZ1	BOLL	Q9NQZ3	Q8N9W6	BioGrid	frozenset({'DAZ1', 'BOLL'})	DAZ1	BOLL	Q9NQZ3	Q8N9W6	IID
DAZ1	DZIP1	Q9NQZ3	Q86YF9	BioGrid	frozenset({'DAZ1', 'DZIP1'})	DAZ1	DZIP1	Q9NQZ3	Q86YF9	IID
DAZ1	DZIP1L	Q9NQZ3	Q8IYY4	BioGrid	frozenset({'DAZ1', 'DZIP1L'})	DAZ1	DZIP1L	Q9NQZ3	Q8IYY4	IID
DAZ1	DZIP3	Q9NQZ3	Q86Y13	BioGrid	frozenset({'DAZ1', 'DZIP3'})	DAZ1	DZIP3	Q9NQZ3	Q86Y13	IID
CD81	DDX3Y	P60033	O15523	BioGrid	frozenset({'DDX3Y', 'CD81'})	DDX3Y	CD81	O15523	P60033	IID
CD81	RPS4Y1	P60033	P22090	BioGrid	frozenset({'CD81', 'RPS4Y1'})	RPS4Y1	CD81	P22090	P60033	IID
IGSF8	DDX3Y	Q969P0	O15523	BioGrid	frozenset({'IGSF8', 'DDX3Y'})	DDX3Y	IGSF8	O15523	Q969P0	IID
IGSF8	RPS4Y1	Q969P0	P22090	BioGrid	frozenset({'IGSF8', 'RPS4Y1'})	RPS4Y1	IGSF8	P22090	Q969P0	IID
ICAM1	RPS4Y1	P05362	P22090	BioGrid	frozenset({'ICAM1', 'RPS4Y1'})	RPS4Y1	ICAM1	P22090	P05362	IID
PRDX2	UTY	P32119	O14607	BioGrid	frozenset({'UTY', 'PRDX2'})	UTY	PRDX2	O14607	P32119	IID
SRPK2	EIF1AY	P78362	O14602	BioGrid	frozenset({'EIF1AY', 'SRPK2'})	EIF1AY	SRPK2	O14602	P78362	IID
FBXO6	DDX3Y	Q9NRD1	O15523	BioGrid	frozenset({'DDX3Y', 'FBXO6'})	DDX3Y	FBXO6	O15523	Q9NRD1	IID
WWOX	DDX3Y	Q9NZC7	O15523	BioGrid	frozenset({'DDX3Y', 'WWOX'})	DDX3Y	WWOX	O15523	Q9NZC7	IID
CSNK1E	USP9Y	P49674	O00507	BioGrid	frozenset({'USP9Y', 'CSNK1E'})	USP9Y	CSNK1E	O00507	P49674	IID
HSFY1	E2F7	Q96LI6	Q96AV8	BioGrid	frozenset({'HSFY1', 'E2F7'})	HSFY1	E2F7	Q96LI6	Q96AV8	IID
HSFY1	NDUFS1	Q96LI6	P28331	BioGrid	frozenset({'NDUFS1', 'HSFY1'})	HSFY1	NDUFS1	Q96LI6	P28331	IID
HSFY1	PPM1A	Q96LI6	P35813	BioGrid	frozenset({'PPM1A', 'HSFY1'})	HSFY1	PPM1A	Q96LI6	P35813	IID
HSFY1	AIF1	Q96LI6	P55008	BioGrid	frozenset({'HSFY1', 'AIF1'})	HSFY1	AIF1	Q96LI6	P55008	IID
